condition,cfr_iter,exploitability,info_states_in_strategy,adv_buf_p0,adv_buf_p1,strat_buf,iter_time_s,total_time_s,expl_time_s
dream,1,0.9997722391402792,6334,2634,2478,5101,1.29,1.3,10.15
dream,2,0.9996633224645748,6334,4901,4662,9740,1.18,2.5,9.56
dream,3,0.9947591780975062,6334,6949,6888,14251,1.17,3.6,9.52
dream,4,0.9937659190086969,6334,9153,8994,18796,1.14,4.8,9.53
dream,5,0.9864066950115195,6334,11587,11344,23639,1.18,6.0,9.62
dream,6,0.9886555538050025,6334,13968,13606,28459,1.18,7.1,9.56
dream,7,0.9826563605339229,6334,16330,15597,33056,1.15,8.3,9.55
dream,8,0.9774506126886211,6334,18627,17981,37926,1.19,9.5,9.95
dream,9,0.9899343447729884,6334,21006,20363,42821,1.19,10.7,9.69
dream,10,0.9825972244295558,6334,23399,22908,47831,1.22,11.9,9.56
dream,15,0.9879415537419434,6334,36753,34886,74326,1.21,18.0,9.94
dream,20,0.9608511451371049,6334,49047,45785,98483,1.13,23.9,9.76
dream,25,0.9695888098909524,6334,60156,55602,121128,1.11,29.6,9.8
dream,30,0.9754492654512923,6334,72043,66397,144570,1.27,35.5,9.71
dream,35,0.9557613165599343,6334,83445,77397,167735,1.14,42.3,9.54
dream,40,0.9677357840380023,6334,95021,87681,190377,1.23,48.2,9.59
dream,45,0.9545051636555671,6334,105590,95581,210136,1.12,53.8,9.52
dream,50,0.9533246639737538,6334,115767,102826,228840,1.09,59.2,9.51
dream,60,0.9672552964258893,6334,140272,121760,274339,1.14,71.6,9.57
dream,70,0.9723526631943478,6334,164947,142620,322296,1.2,83.8,9.67
dream,80,0.97582714446723,6334,188998,161236,367003,1.18,95.9,9.64
dream,90,0.9812088587099614,6334,215261,183882,417288,1.31,108.8,9.61
dream,100,0.9818975563854273,6334,236751,204126,461211,1.18,120.5,9.5
