condition,cfr_iter,exploitability,info_states_in_strategy,adv_buf_p0,adv_buf_p1,strat_buf,iter_time_s,total_time_s,expl_time_s
dream,1,0.012484760830011876,22,500,305,944,0.38,0.4,0.0
dream,2,0.007277094434272768,22,982,531,1888,0.31,0.7,0.0
dream,3,0.022808180238910736,22,1443,762,2707,0.3,1.0,0.0
dream,4,0.015349660480810323,22,1897,1020,3484,0.33,1.3,0.0
dream,5,0.010316392392801632,22,2390,1253,4333,0.31,1.6,0.0
dream,6,0.01384895656316637,22,2839,1490,5097,0.3,1.9,0.0
dream,7,0.011009568915639423,22,3293,1712,6051,0.31,2.2,0.0
dream,8,0.009660834439055688,22,3742,1968,6855,0.3,2.5,0.0
dream,9,0.009095731664460094,22,4191,2215,7637,0.31,2.9,0.0
dream,10,0.007799904731451701,22,4632,2451,8408,0.33,3.2,0.0
dream,15,0.006643969488919321,22,6915,3631,12343,0.3,4.7,0.0
dream,20,0.02022171422587371,22,9344,4955,16762,0.34,6.3,0.0
dream,25,0.013676983232293383,22,11643,6128,20922,0.31,7.8,0.0
dream,30,0.009222552808976492,22,13981,7360,24960,0.31,9.4,0.0
dream,35,0.008450325865547004,22,16349,8596,29160,0.32,11.0,0.0
dream,40,0.012191558993087936,22,18652,9853,33020,0.31,12.6,0.0
dream,45,0.012708276425391074,22,20973,11161,37076,0.33,14.2,0.0
dream,50,0.015102197122463024,22,23254,12378,40972,0.31,15.7,0.0
dream,60,0.011544315291463048,22,27833,14886,49058,0.32,19.0,0.0
dream,70,0.011197829285674643,22,32485,17309,50000,0.34,22.3,0.0
dream,80,0.03368475170119867,22,37202,19859,50000,0.32,25.5,0.0
dream,90,0.035550149630868666,22,41900,22609,50000,0.32,28.9,0.0
dream,100,0.03542830452939838,22,46568,25205,50000,0.31,32.1,0.0
