condition,iterations,exploitability,br_black,br_white,info_states,solve_time_s,expl_time_s,throughput_iter_s
vanilla,1000000,0.9993890653606028,0.9987780556526081,1.0000000750685976,139820,8.8,138.9,113085.0
vanilla,10000000,0.9981832086725523,0.99636628932558,1.0000001280195245,162528,88.6,137.5,112857.0
vanilla,100000000,0.9850211983466068,0.970042281451318,1.0000001152418956,171825,823.5,128.9,121437.0
vanilla,500000000,0.988986709421275,0.9779731950318078,1.0000002238107422,174875,3975.9,126.9,125757.0
vanilla,1000000000,0.988832629971883,0.9776652132901132,1.0000000466536527,175825,7900.0,127.2,126582.0
pone,1000000,0.9993890653606028,0.9987780556526081,1.0000000750685976,139820,8.4,128.5,118709.0
pone,10000000,0.9981832086725523,0.99636628932558,1.0000001280195245,162528,82.6,128.5,121119.0
pone,100000000,0.9850211983466068,0.970042281451318,1.0000001152418956,171825,800.8,127.5,124877.0
pone,500000000,0.988986709421275,0.9779731950318078,1.0000002238107422,174875,3952.4,127.0,126505.0
